Entry,Gene Names,Protein families
C4ZZA0,astE BWG_1557,"AspA/AstE family, Succinylglutamate desuccinylase subfamily"
C4ZZA2,astD BWG_1559,"Aldehyde dehydrogenase family, AstD subfamily"
C4ZZA4,astC argM BWG_1561,"Class-III pyridoxal-phosphate-dependent aminotransferase family, AstC subfamily"
C4ZZD4,msrB BWG_1591,MsrB Met sulfoxide reductase family
C4ZZJ2,rsmF BWG_1649,"Class I-like SAM-binding methyltransferase superfamily, RsmB/NOP family"
C4ZZK6,purT BWG_1663,PurK/PurT family
C4ZZP7,pcm BWG_2479,"Methyltransferase superfamily, L-isoaspartyl/D-aspartyl protein methyltransferase family"
C4ZZP8,surE BWG_2480,SurE nucleotidase family
C4ZZP9,truD BWG_2481,Pseudouridine synthase TruD family
C4ZZQ0,ispF BWG_2482,IspF family
C4ZZQ4,cysC BWG_2486,APS kinase family
C4ZZQ5,cysN BWG_2487,"TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, CysN/NodQ subfamily"
C4ZZR6,cysH BWG_2498,"PAPS reductase family, CysH subfamily"
C4ZZR7,cysI BWG_2499,Nitrite and sulfite reductase 4Fe-4S domain family
C4ZZT2,eno BWG_2514,Enolase family
C4ZZU9,queF BWG_2532,"GTP cyclohydrolase I family, QueF type 2 subfamily"
C4ZZV3,xni ygdG BWG_2536,Xni family
C4ZZV7,fucI BWG_2540,L-fucose isomerase family
C4ZZV9,fucU BWG_2542,"RbsD / FucU family, FucU mutarotase subfamily"
C4ZZW1,rlmM BWG_2544,"Class I-like SAM-binding methyltransferase superfamily, RNA methyltransferase RlmE family, RlmM subfamily"
C4ZZX9,thyA BWG_2562,"Thymidylate synthase family, Bacterial-type ThyA subfamily"
C4ZZY9,aas BWG_2572,2-acyl-GPE acetyltransferase family; ATP-dependent AMP-binding enzyme family
C5A009,ubiE BWG_3511,"Class I-like SAM-binding methyltransferase superfamily, MenG/UbiE family"
C5A011,ubiB BWG_3513,"ABC1 family, UbiB subfamily"
C5A021,pepQ BWG_3523,"Peptidase M24B family, Bacterial-type prolidase subfamily"
C5A055,dtd BWG_3557,DTD family
C5A069,rhaM BWG_3571,Rhamnose mutarotase family
C5A070,rhaD BWG_3572,"Aldolase class II family, RhaD subfamily"
C5A071,rhaA BWG_3573,Rhamnose isomerase family
C5A072,rhaB BWG_3574,Rhamnulokinase family
C5A082,fieF BWG_3584,"Cation diffusion facilitator (CDF) transporter (TC 2.A.4) family, FieF subfamily"
C5A093,glpK BWG_3595,FGGY kinase family
C5A098,hslU BWG_3600,"ClpX chaperone family, HslU subfamily"
C5A099,hslV BWG_3601,"Peptidase T1B family, HslV subfamily"
C5A0C3,argE BWG_3625,"Peptidase M20A family, ArgE subfamily"
C5A0C6,kduI BWG_2579,KduI family
C5A0E6,hyuA BWG_2599,"Metallo-dependent hydrolases superfamily, Hydantoinase/dihydropyrimidinase family"
C5A0G1,idi BWG_2614,IPP isomerase type 1 family
C5A0H5,gcvP BWG_2628,GcvP family
C5A0I5,rpiA BWG_2638,Ribose 5-phosphate isomerase family
C5A0J7,epd BWG_2650,"Glyceraldehyde-3-phosphate dehydrogenase family, Epd subfamily"
C5A0L1,metK BWG_2664,AdoMet synthase family
C5A0N2,mltC BWG_2685,Transglycosylase Slt family
C5A0Q8,argB BWG_3627,"Acetylglutamate kinase family, ArgB subfamily"
C5A0R1,sthA udhA BWG_3630,Class-I pyridine nucleotide-disulfide oxidoreductase family
C5A0R4,trmA BWG_3633,"Class I-like SAM-binding methyltransferase superfamily, RNA M5U methyltransferase family, TrmA subfamily"
C5A0S7,rpoB BWG_3646,RNA polymerase beta chain family
C5A0T1,thiG BWG_3650,ThiG family
C5A0T5,thiC BWG_3654,ThiC family
C5A0T8,hemE BWG_3657,Uroporphyrinogen decarboxylase family
C5A0T9,nfi BWG_3658,Endonuclease V family
C5A0U7,purH BWG_3666,PurH family
C5A0V0,metAS BWG_3669,MetA family
C5A0V3,aceK BWG_3672,AceK family
C5A0W2,pgi BWG_3681,GPI family
C5A130,lamB BWG_3750,Porin LamB (TC 1.B.3) family
C5A136,lexA BWG_3756,Peptidase S24 family
C5A163,nrfA BWG_3784,Cytochrome c-552 family
C5A1D5,groEL groL BWG_3856,Chaperonin (HSP60) family
C5A1E9,epmA yjeA BWG_3870,"Class-II aminoacyl-tRNA synthetase family, EpmA subfamily"
C5A1F4,psd BWG_3875,"Phosphatidylserine decarboxylase family, PSD-B subfamily, Prokaryotic type I sub-subfamily"
C5A1F5,rsgA BWG_3876,"TRAFAC class YlqF/YawG GTPase family, RsgA subfamily"
D0VEX0,fabA,"Thioester dehydratase family, FabA subfamily"
D0VEX4,fabH,"Thiolase-like superfamily, FabH family"
D0VEX5,fabI,"Short-chain dehydrogenases/reductases (SDR) family, FabI subfamily"
D0VEX6,gpsA,NAD-dependent glycerol-3-phosphate dehydrogenase family
D0VEX8,fabZ,"Thioester dehydratase family, FabZ subfamily"
D0VEX9,kdsC,KdsC family
D0VEY1,lpxC,LpxC family
D0VEY2,lpxK,LpxK family
D0VEY3,lpxM,"LpxL/LpxM/LpxP family, LpxM subfamily"
D0VEY8,psd,"Phosphatidylserine decarboxylase family, PSD-B subfamily, Prokaryotic type I sub-subfamily"
D0VEZ2,accD,AccD/PCCB family
G0ZKW2,lacZ,Glycosyl hydrolase 2 family
O52982,yfjS b2636 JW5921,
P00960,glyQ glyS(A) b3560 JW3531,Class-II aminoacyl-tRNA synthetase family
P03012,tnpR ECOK12F009,Site-specific recombinase resolvase family
P03030,lysR b2839 JW2807,LysR transcriptional regulatory family
P03813,ygeA b2840 JW2808,Aspartate/glutamate racemases family
P03825,gspB pinO pioO pno b3322 JW3284,
P03856,repE E rep ECOK12F045,Initiator RepB protein family
P04128,fimA pilA b4314 JW4277,Fimbrial protein family
P04846,nlpA b3661 JW3635,NlpA lipoprotein family
P04949,fliC flaF hag b1923 JW1908,Bacterial flagellin family
P05052,appY b0564 JW0553,
P05827,ilvY b3773 JW3746,LysR transcriptional regulatory family
P06282,cdh b3918 JW3889,Cdh family
P06615,resD D ECOK12F044,'phage' integrase family
P06846,ebgR b3075 JW3046,
P06966,dicA b1570 JW1562,
P07000,pldB b3825 JW5584,
P07026,sdiA b1916 JW1901,
P07654,pstA phoT b3726 JW3704,"Binding-protein-dependent transport system permease family, CysTW subfamily"
P08550,cvpA dedE b2313 JW2310,
P08555,dsdX orf445 yfdA yfdD b2365 JW2362,GntP permease family
P08997,aceB mas b4014 JW3974,Malate synthase family
P09126,hemD b3804 JW3776,Uroporphyrinogen-III synthase family
P09155,rnd b1804 JW1793,RNase D family
P09163,yjaB b4012 JW3972,Acetyltransferase family
P09424,mtlD b3600 JW3574,Mannitol dehydrogenase family
P09833,modC chlD narD b0765 JW0748,"ABC transporter superfamily, Molybdate importer (TC 3.A.1.8) family"
P0A6G3,pncC ygaD b2700 JW2670,"CinA family, PncC subfamily"
P0A6G5,citX ybdU b0614 JW0606,CitX family
P0A6L7,uxaB b1521 JW1514,"Mannitol dehydrogenase family, UxaB subfamily"
P0A6P7,engB yihA b3865 JW5930,"TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily, EngB GTPase family"
P0A6S0,flgH fla FVIII flaY b1079 JW5153,FlgH family
P0A6W0,glsA2 yneH b1524 JW1517,Glutaminase family
P0A6W5,greA b3181 JW3148,GreA/GreB family
P0A7A2,gpmB ytjC b4395 JW4358,"Phosphoglycerate mutase family, GpmB subfamily"
P0A7C6,pepE b4021 JW3981,Peptidase S51 family
P0A7H6,recR b0472 JW0461,RecR family
P0A7P5,rpmH rimA ssaF b3703 JW3680,Bacterial ribosomal protein bL34 family
P0A823,sfsA sfs1 b0146 JW0142,SfsA family
P0A867,talA b2464 JW2448,"Transaldolase family, Type 1 subfamily"
P0A8B5,ybaB b0471 JW0460,YbaB/EbfC family
P0A8C8,yidD b4557 JW3682,UPF0161 family
P0A8D0,nrdR ybaD b0413 JW0403,NrdR family
P0A8G3,uxaC ygjX ygjY ygjZ b3092 JW3063,"Metallo-dependent hydrolases superfamily, Uronate isomerase family"
P0A8I3,yaaA b0006 JW0005,UPF0246 family
P0A8P3,yggX b2962 JW2929,Fe(2+)-trafficking protein family
P0A8R9,hdfR pssR yifA yifD b4480 JW5607,LysR transcriptional regulatory family
P0A8S5,uspB yhiO b3494 JW3461,Universal stress protein B family
P0A8U0,syd ydr b2793 JW2764,Syd family
P0A8Z0,yciA b1253 JW1245,Acyl coenzyme A hydrolase family
P0A901,blc yjeL b4149 JW4110,"Calycin superfamily, Lipocalin family"
P0A915,ompW yciD b1256 JW1248,OmpW/AlkL family
P0A917,ompX ybiG b0814 JW0799,"Outer membrane OOP (TC 1.B.6) superfamily, OmpX family"
P0A930,wza b2062 JW2047,BexD/CtrA/VexA family
P0A932,gfcE yccZ b0983 JW0966,BexD/CtrA/VexA family
P0A9E9,yeiL nsr b2163 JW2150,
P0A9F6,gcvA b2808 JW2779,LysR transcriptional regulatory family
P0A9F9,metR b3828 JW3804,LysR transcriptional regulatory family
P0A9G2,nhaR antO b0020 JW0019,LysR transcriptional regulatory family
P0A9I3,gcvR yffD b2479 JW2464,
P0A9I8,nirD b3366 JW3329,
P0A9N0,ptsO npr rpoR yhbK b3206 JW3173,HPr family
P0A9T4,tas ygdS b2834 JW2802,"Aldo/keto reductase family, Aldo/keto reductase 2 subfamily"
P0A9U6,puuR ycjC b1299 JW1292,
P0AA57,yobA b1841 JW1830,CopC family
P0AA73,yhbE b3184 JW3151,EamA transporter family
P0AA82,codB b0336 JW0327,Purine-cytosine permease (2.A.39) family
P0AA99,yafK b0224 JW0214,YkuD family
P0AAB6,galF wcaN b2042 JW2027,UDPGP type 2 family
P0AAB8,uspD yiiT b3923 JW3894,Universal stress protein A family
P0AAE2,proY yajM b0402 JW5055,"Amino acid-polyamine-organocation (APC) superfamily, Amino acid transporter (AAT) (TC 2.A.3.1) family"
P0AAG3,gltL b0652 JW0647,ABC transporter superfamily
P0AAI1,ssuB ycbE b0933 JW0916,"ABC transporter superfamily, Aliphatic sulfonates importer (TC 3.A.1.17.2) family"
P0AAI9,fabD tfpA b1092 JW1078,FabD family
P0AAJ1,ynfG b1589 JW1581,
P0AAK7,nrfC yjcJ b4072 JW4033,
P0AAP3,frmR yaiN b0357 JW0348,FrmR/RcnR family
P0AAR0,tomB ybaJ b0461 JW0450,TomB family
P0AAS7,ybcJ b0528 JW5070,
P0AAV4,pxpB ybgJ b0711 JW0701,PxpB family
P0AAX6,mcbA ybiM b0806 JW5106,BhsA/McbA family
P0AAY6,ybjN b0853 JW0837,
P0AB01,elyC ycbC b0920 JW0903,
P0AB20,hspQ yccV b0966 JW5970,HspQ family
P0AB28,yceD g30k b1088 JW1074,DUF177 domain family
P0AB33,bssS yceP b1060 JW5152,
P0AB96,arsC arsG b3503 JW3470,ArsC family
P0ABC0,atpI uncI b3739 JW5611,Bacterial AtpI family
P0ABD1,yeaV b1801 JW5293,BCCT transporter (TC 2.A.15) family
P0ABE2,bolA b0435 JW5060,BolA/IbaG family
P0ABH4,mreD b3249 JW3218,MreD family
P0ABL5,napC yejX b2202 JW2190,NapC/NirT/NrfH family
P0ABL8,ccmB yejV b2200 JW2188,CcmB/CycW/HelB family
P0ABM5,ccmD yojM b2198 JW2186,CcmD/CycX/HelD family
P0ABP6,dedA b2317 JW2314,DedA family
P0ABW3,yfaE b2236 JW2230,
P0ABW5,sfmA b0530 JW0519,Fimbrial protein family
P0ABW9,flgB fla FII flbA b1073 JW1060,Flagella basal body rod proteins family
P0ABX2,flgC fla FIII flaW b1074 JW1061,Flagella basal body rod proteins family
P0ABX5,flgG fla FVII flaL b1078 JW1065,Flagella basal body rod proteins family
P0ABX8,fliL cheC1 fla AI fla QI b1944 JW1928,FliL family
P0AC05,fliP flaR b1948 JW1932,FliP/MopC/SpaP family
P0AC07,fliQ flaQ b1949 JW1933,FliQ/MopD/SpaQ family
P0AC26,nirC b3367 JW3330,FNT transporter (TC 1.A.16) family
P0AC35,ttdB ygjB b3062 JW3034,Class-I fumarase family
P0AC59,grxB b1064 JW1051,Glutaredoxin family
P0AC65,nrdH ygaN b2673 JW2648,Glutaredoxin family
P0AC92,gnsA yccL b4517 JW0976,Gns family
P0AC96,gntU b4476 JW5686,GntP permease family
P0ACA1,yibF b3592 JW3565,"GST superfamily, HSP26 family"
P0ACB7,hemY b3802 JW3774,
P0ACC9,wcaB b2058 JW2043,Transferase hexapeptide repeat family
P0ACD2,wcaF b2054 JW2039,Transferase hexapeptide repeat family
P0ACH8,melR b4118 JW4079,
P0ACI0,rob b4396 JW4359,
P0ACI6,asnC b3743 JW3721,
P0ACJ5,decR ybaO b0447 JW0437,
P0ACK2,agaR yhaW b3131 JW3100,
P0ACK5,deoR nucR b0840 JW0824,
P0ACK8,fucR b2805 JW2776,
P0ACL0,glpR b3423 JW3386,
P0ACL9,pdhR aceC genA yacB b0113 JW0109,
P0ACN7,cytR b3934 JW3905,
P0ACP5,gntR b3438 JW5946,
P0ACQ7,tdcA b3118 JW3089,LysR transcriptional regulatory family
P0ACR0,allS glxA1 ybbS b0504 JW0492,LysR transcriptional regulatory family
P0ACS7,rpiR alsR yjcY b4089 JW4050,
P0ACT2,envR yhdK b3264 JW3232,
P0ACT6,uidR gusR b1618 JW1610,
P0ACX3,ydhR b1667 JW1657,
P0ACX5,fumD ydhZ b1675 JW1665,FumD family
P0ACY1,ydjA b1765 JW1754,Nitroreductase family
P0ACZ2,etp yccY b0982 JW5132,Low molecular weight phosphotyrosine protein phosphatase family
P0AD03,yebS b1833 JW1822,PqiA family
P0ADB4,ecnA b4410 JW5737,EcnA/EcnB lipoprotein family
P0ADB7,ecnB yjeU b4411 JW4108,EcnA/EcnB lipoprotein family
P0ADE8,ygfZ yzzW b2898 JW2866,TRNA-modifying YgfZ family
P0ADH5,fimB b4312 JW4275,'phage' integrase family
P0ADH7,fimE b4313 JW4276,'phage' integrase family
P0ADI0,pinR ynaD b1374 JW1368,Site-specific recombinase resolvase family
P0ADN0,viaA yieD yieM b3745 JW5610,ViaA family
P0ADQ2,fabY yiiD b3888 JW3859,"Acetyltransferase family, FabY subfamily"
P0ADQ7,ygaM b2672 JW2647,ElaB/YgaM/YqjD family
P0ADT5,ygiC b3038 JW3006,Glutathionylspermidine synthase preATP-grasp family
P0ADU5,ygiW b3024 JW2992,
P0ADW6,yhcC b3211 JW3178,Radical SAM superfamily
P0ADX9,rsmD yhhF b3465 JW3430,"Methyltransferase superfamily, RsmD family"
P0AE26,araH b4460 JW1887,"Binding-protein-dependent transport system permease family, AraH/RbsC subfamily"
P0AE30,artM b0861 JW0845,"Binding-protein-dependent transport system permease family, HisMQ subfamily"
P0AE34,artQ b0862 JW0846,"Binding-protein-dependent transport system permease family, HisMQ subfamily"
P0AE37,astA ydjV b1747 JW1736,Arginine N-succinyltransferase family
P0AE39,ypdB b2381 JW2378,
P0AE45,paeA ytfL b4218 JW4177,"UPF0053 family, PaeA subfamily"
P0AE56,bfd yheA b3337 JW3299,Bfd family
P0AE60,cedA ydjP b1731 JW1720,CedA family
P0AE95,csgE b1039 JW1022,
P0AE98,csgF b1038 JW1021,
P0AEB0,cysW b2423 JW2416,"Binding-protein-dependent transport system permease family, CysTW subfamily"
P0AED9,dcm mec b1961 JW1944,"Class I-like SAM-binding methyltransferase superfamily, C5-methyltransferase family"
P0AEE1,dcrB yhhR b3472 JW5682,DcrB family
P0AEK0,exoX yobC b1844 JW1833,
P0AEL3,feoA b3408 JW3371,FeoA family
P0AEL6,fepB b0592 JW0584,Bacterial solute-binding protein 8 family
P0AEM4,flgM b1071 JW1058,FlgM family
P0AEP1,galP b2943 JW2910,"Major facilitator superfamily, Sugar transporter (TC 2.A.1.1) family"
P0AEQ6,glnP b0810 JW0795,"Binding-protein-dependent transport system permease family, HisMQ subfamily"
P0AEU3,hisM b2307 JW2304,"Binding-protein-dependent transport system permease family, HisMQ subfamily"
P0AEW1,hyfE b2485 JW2470,
P0AEW4,cpdA icc b3032 JW3000,Cyclic nucleotide phosphodiesterase class-III family
P0AEX3,kgtP witA b2587 JW2571,"Major facilitator superfamily, Metabolite:H+ Symporter (MHS) family (TC 2.A.1.6) family"
P0AF01,modB chlJ b0764 JW0747,"Binding-protein-dependent transport system permease family, CysTW subfamily"
P0AF08,mrp b2113 JW2100,Mrp/NBP35 ATP-binding proteins family
P0AF10,mtlR b3601 JW3575,MtlR/FumE family
P0AF20,nagC nagR b0676 JW0662,ROK (NagC/XylR) family
P0AF40,yijD b3964 JW3936,
P0AF63,nsrR yjeB b4178 JW4136,
P0AF96,tabA yjgK b4252 JW5756,TabA/YiaL family
P0AFA5,nfrB b0569 JW0558,
P0AFH8,osmY b4376 JW4338,
P0AFK0,pmbA tldE b4235 JW4194,Peptidase U62 family
P0AFK2,pnuC b0751 JW0734,Nicotinamide ribonucleoside (NR) uptake permease (TC 4.B.1) family
P0AFM9,pspB b1305 JW1298,PspB family
P0AFQ7,ycfH b1100 JW1086,"Metallo-dependent hydrolases superfamily, TatD-type hydrolase family"
P0AFR7,ycjO b1311 JW1304,"Binding-protein-dependent transport system permease family, MalFG subfamily"
P0AFS1,lsrD ydeZ b1515 JW1508,"Binding-protein-dependent transport system permease family, AraH/RbsC subfamily"
P0AFV2,yhiD yhhE b3508 JW5670,MgtC/SapB family
P0AFV8,pspD b1307 JW1300,PspD family
P0AFY2,sanA yeiF b2144 JW2132,
P0AG14,sohB b1272 JW1264,Peptidase S49 family
P0AG34,rhtB yigK b3824 JW5585,Rht family
P0AG38,rhtC yigJ b3823 JW5586,Rht family
P0AG84,yghA b3003 JW2972,Short-chain dehydrogenases/reductases (SDR) family
P0AGG8,tldD yhdO b3244 JW3213,Peptidase U62 family
P0AGH8,pstC phoW b3727 JW3705,"Binding-protein-dependent transport system permease family, CysTW subfamily"
P0AGI4,xylH b3568 JW3540,"Binding-protein-dependent transport system permease family, AraH/RbsC subfamily"
P0AGI8,trkA b3290 JW3251,
P0AGJ2,trmH spoU b3651 JW3626,"Class IV-like SAM-binding methyltransferase superfamily, RNA methyltransferase TrmH family"
P0AGK4,yhbY b3180 JW3147,
P0C8J8,gatZ b2095 JW2082,"GatZ/KbaZ family, GatZ subfamily"
P0C8K0,kbaZ agaZ yhaX b3132 JW3101,"GatZ/KbaZ family, KbaZ subfamily"
P0CB39,eptC cptA yijP b3955 JW3927,"Phosphoethanolamine transferase family, EptC/CptA subfamily"
P0CE44,uidB gusB uidP b1616 JW1608,Sodium:galactoside symporter (TC 2.A.2) family
P0CE45,uidB gusB uidP,Sodium:galactoside symporter (TC 2.A.2) family
P0CF88,insI1 b0256 JW0246,Transposase IS30 family
P0CK95,yghJ b4466 JW5925 ECK2968,
P0DKB3,mntS rybA b4705 JW0800.1,
P0DP21,yjiP rpnD b4338 JW5953,Rpn/YhgA-like nuclease family
P0DP70,phnE phnE2 b4103 JW4065,Binding-protein-dependent transport system permease family
P0DP89,ilvG b4488 b3767,TPP enzyme family
P10423,iap b2753 JW2723,"Peptidase M28 family, M28C subfamily"
P10805,envY b0566 JW0555,
P11072,lit b1139 JW1125,Peptidase U49 family
P11446,argC b3958 JW3930,"NAGSA dehydrogenase family, Type 1 subfamily"
P11875,argS b1876 JW1865,Class-I aminoacyl-tRNA synthetase family
P11988,bglB b3721 JW3699,Glycosyl hydrolase 1 family
P11989,bglG bglC b3723 JW3701,Transcriptional antiterminator BglG family
P12999,bioC b0777 JW0760,Methyltransferase superfamily
P13024,fdhE b3891 JW3862,FdhE family
P15006,mcrC b4345 JW5789,
P15070,fliN flaN motD b1946 JW1930,FliN/MopA/SpaO family
P15082,srlR gutR b2707 JW2676,
P15639,purH b4006 JW3970,PurH family
P15977,malQ malA b3416 JW3379,Disproportionating enzyme family
P16525,tus tau b1610 JW1602,Tus family
P16677,phnC b4106 JW4067,"ABC transporter superfamily, Phosphonates importer (TC 3.A.1.9.1) family"
P16682,phnD psiD b4105 JW4066,Phosphate/phosphite/phosphonate binding protein family
P16689,phnM b4095 JW4056,Metallo-dependent hydrolases superfamily
P16690,phnN b4094 JW4055,"Ribose 1,5-bisphosphokinase family"
P16701,cysU cysT b2424 JW2417,"Binding-protein-dependent transport system permease family, CysTW subfamily"
P17410,chbR celD b1735 JW1724,
P17583,cynX b0341 JW0332,"Major facilitator superfamily, Cyanate porter (TC 2.A.1.17) family"
P18310,ssbF ssb ssf ECOK12F060,
P18393,ybdZ b4511 JW0577,MbtH-like family
P18811,malI b1620 JW1612,
P19317,narW b1466 JW1461,NarJ/NarW family
P19769,insK dinS b3558 JW3528,Transposase IS3/IS150/IS904 family
P19930,hyaD b0975 JW0957,Peptidase A31 family
P20605,fic b3361 JW3324,Fic family
P21169,speC b2965 JW5482,Orn/Lys/Arg decarboxylase class-I family
P21367,ycaC b0897 JW0880,
P21515,acpH yajB b0404 JW0394,AcpH family
P21893,recJ b2892 JW2860,RecJ family
P22586,fliO flaP flbD b1947 JW5316,FliO/MopB family
P23839,yicC orfX b3644 JW3619,YicC/YloC family
P23841,xapR pndR yfeB b2405 JW2396,LysR transcriptional regulatory family
P23842,pdeA yfeA b2395 JW5391,
P23898,nlpC b1708 JW1698,Peptidase C40 family
P23910,araJ b0396 JW0386,Major facilitator superfamily
P24174,manC cpsB rfbM b2049 JW2034,Mannose-6-phosphate isomerase type 2 family
P24175,manB cpsG rfbL b2048 JW2033,Phosphohexose mutase family
P24181,acrF envD b3266 JW3234,Resistance-nodulation-cell division (RND) (TC 2.A.6) family
P24200,mcrA rglA b1159 JW1145,
P24202,mrr b4351 JW4314,
P24218,intD int b0537 JW0525,'phage' integrase family
P24240,ascB b2716 JW2686,Glycosyl hydrolase 1 family
P24241,ascF b2715 JW5435,
P24242,ascG b2714 JW5434,
P24244,appX yccB b4592 JW0961.1 b0979.1,Cytochrome ubiquinol oxidase subunit X family
P25549,aslA atsA b3801 JW3773,Sulfatase family
P25741,waaP rfaP b3630 JW3605,"Protein kinase superfamily, KdkA/RfaP family"
P25744,mdtG yceE b1053 JW1040,"Major facilitator superfamily, DHA1 family, MdtG (TC 2.A.1.2.20) subfamily"
P25748,galS b2151 JW2138,
P25772,ligB yicF b3647 JW3622,"NAD-dependent DNA ligase family, LigB subfamily"
P25960,gspO hofD hopD hopO yheC b3335 JW3297,Peptidase A24 family
P26266,fepE b0587 JW0579,WzzB/Cld/Rol family
P26365,amiB yjeD b4169 JW4127,N-acetylmuramoyl-L-alanine amidase 3 family
P26612,amyA yedC b1927 JW1912,Glycosyl hydrolase 13 family
P26649,glgS scoR b3049 JW3021,GlgS family
P27111,cynR b0338 JW5894,LysR transcriptional regulatory family
P27126,waaS rfaS b3629 JW3604,
P27127,waaB rfaB b3628 JW3603,"Glycosyltransferase group 1 family, Glycosyltransferase 4 subfamily"
P27240,waaY rfaY b3625 JW3600,"Protein kinase superfamily, RfaY/WaaY family"
P27832,wecD rffC yifH b3790 JW5597,WecD family
P27835,wzyE wzy b3793 JW3769,WzyE family
P27836,wecG rffM b3794 JW3770,Glycosyltransferase 26 family
P27862,yigZ b3848 JW5577,IMPACT family
P28249,asmA yegA b2064 JW2049,AsmA family
P30015,lhr rhlF b1653 JW1645,Helicase family
P30128,greB b3406 JW3369,"GreA/GreB family, GreB subfamily"
P30130,fimD b4317 JW5780,Fimbrial export usher family
P30136,thiC b3994 JW3958,ThiC family
P30235,psuK pscK yeiC b2166 JW2153,Carbohydrate kinase PfkB family
P30859,artI b0863 JW0847,Bacterial solute-binding protein 3 family
P31060,modF ORF6 phrA b0760 JW0743,ABC transporter superfamily
P31068,fliH fla AII.3 fla BIII b1940 JW1924,FliH family
P31122,sotB ydeA b1528 JW1521,"Major facilitator superfamily, SotB (TC 2.A.1.2) family"
P31125,eamA ydeD b1533 JW5250,EamA transporter family
P31126,ydeE ydeF b1534 JW1527,Major facilitator superfamily
P31436,setC yicK b3659 JW3633,"Major facilitator superfamily, Set transporter family"
P31440,adeQ yicO b3664 JW5636,"Nucleobase:cation symporter-2 (NCS2) (TC 2.A.40) family, Azg-like subfamily"
P31442,emrD yicQ b3673 JW5634,Major facilitator superfamily
P31452,glvC ptiC b3683 JW3660,
P31459,dgoK yidV b3693 JW3670,DgoK family
P31462,mdtL yidY b3710 JW3688,"Major facilitator superfamily, DHA1 family, MdtL (TC 2.A.1.2.22) subfamily"
P31463,yidZ b3711 JW3689,LysR transcriptional regulatory family
P31474,hsrA yieO b3754 JW3733,"Major facilitator superfamily, EmrB family"
P31548,thiQ yabJ b0066 JW0065,"ABC transporter superfamily, Thiamine importer (TC 3.A.1.19.1) family"
P31549,thiP yabK b0067 JW0066,"Binding-protein-dependent transport system permease family, CysTW subfamily"
P31574,fixB yaaR b0042 JW0041,ETF alpha-subunit/FixB family
P31600,nfrA b0568 JW0557,
P31665,rpnC yadD b0132 JW5010,Rpn/YhgA-like nuclease family
P31802,narP b2193 JW2181,
P31825,yfiC b2575 JW2559,"Methyltransferase superfamily, tRNA (adenine-N(6)-)-methyltransferase family"
P31826,yddA b1496 JW5242,ABC transporter superfamily
P31828,pqqL yddC b1494 JW1489,Peptidase M16 family
P32129,yihG b3862 JW3834,1-acyl-sn-glycerol-3-phosphate acyltransferase family
P32137,yihP b3877 JW3848,Sodium:galactoside symporter (TC 2.A.2) family
P32154,frvB yiiJ b3899 JW5562,
P32155,frvA yiiK b3900 JW3871,
P32672,frwC yijJ b3949 JW3921,
P32675,pflC yijM b3952 JW3924,Organic radical-activating enzymes family
P32676,frwD yijN b3953 JW3925,
P32696,pspG yjbO b4050 JW5716,
P32701,pdeC yjcC b4061 JW4022,
P32710,nrfE yjcL b4074 JW4035,CcmF/CycK/Ccl1/NrfE/CcsA family
P32711,nrfF yjcM b4075 JW4036,CcmH/CycL/Ccl2/NrfF family
P32714,mdtP yjcP b4080 JW4041,Outer membrane factor (OMF) (TC 1.B.17) family
P32720,alsC yjcV b4086 JW4047,"Binding-protein-dependent transport system permease family, AraH/RbsC subfamily"
